Currency,Contract,Type,Direction,Quantity,Position,Filled Price,Funding,Fee Paid,Cash Flow,Change,Wallet Balance,Action,Time
USDT,BTCUSDT,TRADE,BUY,0.20200000000000000000,0.30000000000000000000,104740.00000000000000000000,0.00000000000000000000,-3.80834640000000000000,0.00000000000000000000,-3.80834640000000000000,26299.07610825925185473400,OPEN,2024-12-18 13:47:23
USDT,BTCUSDT,TRADE,BUY,0.09800000000000000000,0.09800000000000000000,104740.00000000000000000000,0.00000000000000000000,-1.84761360000000000000,0.00000000000000000000,-1.84761360000000000000,26302.88445465925185473400,OPEN,2024-12-18 13:47:23
USDT,WLDUSDT,TRADE,BUY,933.80000000000000000000,7729.10000000000000000000,2.64800000000000000000,0.00000000000000000000,-0.44508644000000000000,0.00000000000000000000,-0.44508644000000000000,26304.73206825925185473400,OPEN,2024-12-18 13:45:54
USDT,WLDUSDT,TRADE,BUY,199.10000000000000000000,6795.30000000000000000000,2.64800000000000000000,0.00000000000000000000,-0.09489903000000000000,0.00000000000000000000,-0.09489903000000000000,26305.17715469925185473400,OPEN,2024-12-18 13:45:54
USDT,1000PEPEUSDT,TRADE,BUY,32800.00000000000000000000,2575000.00000000000000000000,0.02138700000000000000,0.00000000000000000000,-0.12626885000000000000,0.00000000000000000000,-0.12626885000000000000,26305.27205372925185473400,OPEN,2024-12-18 13:45:45
USDT,1000PEPEUSDT,TRADE,BUY,56000.00000000000000000000,2542200.00000000000000000000,0.02138700000000000000,0.00000000000000000000,-0.21558096000000000000,0.00000000000000000000,-0.21558096000000000000,26305.39832257925185473400,OPEN,2024-12-18 13:45:45
USDT,1000PEPEUSDT,TRADE,BUY,28000.00000000000000000000,2486200.00000000000000000000,0.02138700000000000000,0.00000000000000000000,-0.10779048000000000000,0.00000000000000000000,-0.10779048000000000000,26305.61390353925185473400,OPEN,2024-12-18 13:45:45
USDT,1000PEPEUSDT,TRADE,BUY,23400.00000000000000000000,2458200.00000000000000000000,0.02138700000000000000,0.00000000000000000000,-0.09008205000000000000,0.00000000000000000000,-0.09008205000000000000,26305.72169401925185473400,OPEN,2024-12-18 13:45:44
USDT,VIRTUALUSDT,TRADE,SELL,15.00000000000000000000,0.00000000000000000000,2.76420000000000000000,0.00000000000000000000,-0.01658520000000000000,0.20963429000000000000,0.19304909000000000000,26305.81177606925185473400,CLOSE,2024-12-18 13:44:45
USDT,VIRTUALUSDT,TRADE,SELL,23.00000000000000000000,15.00000000000000000000,2.76430000000000000000,0.00000000000000000000,-0.02543156000000000000,0.32373925000000000000,0.29830769000000000000,26305.61872697925185473400,CLOSE,2024-12-18 13:44:45
USDT,VIRTUALUSDT,TRADE,SELL,20.00000000000000000000,38.00000000000000000000,2.76430000000000000000,0.00000000000000000000,-0.02211440000000000000,0.28151239000000000000,0.25939799000000000000,26305.32041928925185473400,CLOSE,2024-12-18 13:44:45
USDT,VIRTUALUSDT,TRADE,SELL,22.00000000000000000000,58.00000000000000000000,2.76430000000000000000,0.00000000000000000000,-0.02432584000000000000,0.30966364000000000000,0.28533780000000000000,26305.06102129925185473400,CLOSE,2024-12-18 13:44:45
USDT,VIRTUALUSDT,TRADE,SELL,34.00000000000000000000,80.00000000000000000000,2.76430000000000000000,0.00000000000000000000,-0.03759448000000000000,0.47857108000000000000,0.44097660000000000000,26304.77568349925185473400,CLOSE,2024-12-18 13:44:45
USDT,VIRTUALUSDT,TRADE,SELL,3.00000000000000000000,114.00000000000000000000,2.76440000000000000000,0.00000000000000000000,-0.00331728000000000000,0.04252686000000000000,0.03920958000000000000,26304.33470689925185473400,CLOSE,2024-12-18 13:44:45
USDT,VIRTUALUSDT,TRADE,SELL,115.00000000000000000000,117.00000000000000000000,2.76440000000000000000,0.00000000000000000000,-0.12716240000000000000,1.63019628000000000000,1.50303388000000000000,26304.29549731925185473400,CLOSE,2024-12-18 13:44:45
USDT,VIRTUALUSDT,TRADE,SELL,75.00000000000000000000,232.00000000000000000000,2.76450000000000000000,0.00000000000000000000,-0.08293500000000000000,1.07067149000000000000,0.98773649000000000000,26302.79246343925185473400,CLOSE,2024-12-18 13:44:45
USDT,VIRTUALUSDT,TRADE,SELL,115.00000000000000000000,307.00000000000000000000,2.76460000000000000000,0.00000000000000000000,-0.12717160000000000000,1.65319628000000000000,1.52602468000000000000,26301.80472694925185473400,CLOSE,2024-12-18 13:44:45
USDT,VIRTUALUSDT,TRADE,SELL,153.00000000000000000000,422.00000000000000000000,2.76470000000000000000,0.00000000000000000000,-0.16919964000000000000,2.21476984000000000000,2.04557020000000000000,26300.27870226925185473400,CLOSE,2024-12-18 13:44:45
USDT,VIRTUALUSDT,TRADE,SELL,115.00000000000000000000,575.00000000000000000000,2.76480000000000000000,0.00000000000000000000,-0.12718080000000000000,1.67619628000000000000,1.54901548000000000000,26298.23313206925185473400,CLOSE,2024-12-18 13:44:45
USDT,VIRTUALUSDT,TRADE,SELL,36.00000000000000000000,690.00000000000000000000,2.76500000000000000000,0.00000000000000000000,-0.03981600000000000000,0.53192232000000000000,0.49210632000000000000,26296.68411658925185473400,CLOSE,2024-12-18 13:44:45
USDT,AEROUSDT,TRADE,SELL,5.00000000000000000000,535.00000000000000000000,1.84720000000000000000,0.00000000000000000000,-0.00166248000000000000,0.03100000000000000000,0.02933752000000000000,26296.19201026925185473400,CLOSE,2024-12-18 11:22:56
